athlete,school,round,pick,conf,position,height,weight,handsize,armlength,forty,bench,vertical,broad,shuttle,threecone
Kool-Aid McKinstry,Alabama,2,41,SEC,CB,71.5,199,8.5,32,4.52,,34.5,121,,
Kris Abrams-Draine,Missouri,5,145,SEC,CB,71.38,179,8.63,31,4.44,,33.5,115,4.41,7.15
Marcellas Dial,South Carolina,6,180,SEC,CB,71.75,190,8.88,32,4.46,16,40.5,129,4.42,7.29
Max Melton,Rutgers,2,43,Big10,CB,71,187,9.13,32.13,4.39,16,40.5,136,4.29,6.95
Mike Sainristil,Michigan,2,50,Big10,CB,69.38,182,8.5,30.88,4.47,14,40,131,4.01,6.99
MJ Devonshire,Pittsburgh,7,229,ACC,CB,70.75,186,8.75,32.88,4.45,10,38.5,124,4.35,7.12
Nate Wiggins,Clemson,1,30,ACC,CB,73.38,173,9,30.5,4.28,,36,127,,
Nehemiah Pritchett,Auburn,5,136,SEC,CB,72.13,190,8.38,31.63,4.36,,34.5,119,4.26,7.09
Quinyon Mitchell,Toledo,1,22,MAC,CB,72.13,195,9.25,31,4.33,20,38,120,,
Renardo Green,Florida State,2,64,ACC,CB,71.88,186,9.13,31.25,4.49,,37.5,130,4.28,
Ro Torrence,Arizona State,na,na,Pac12,CB,74.88,208,8.5,34.13,4.7,12,32.5,118,4.61,7.41
Ryan Cooper,Oregon State,na,na,Pac12,CB,71.38,186,8.75,30.5,4.67,,31,116,4.44,7.18
Tarheeb Still,Maryland,5,137,Big10,CB,71.63,189,9.13,29.63,4.52,,38,120,4.19,
Terrion Arnold,Alabama,1,24,SEC,CB,71.75,189,8.88,31.63,4.5,,37,129,6.69,
TJ Tampa,Iowa State,4,130,Big12,CB,72.88,194,9.63,32.5,4.59,,,,4.07,6.97
Willie Drew,Virginia State,na,na,D2,CB,71.63,191,9.5,32,4.46,13,36,115,4.42,6.9
Adisa Isaac,Penn State,3,93,Big10,DE,76.13,247,9.63,33.88,4.74,20,34.5,123,4.33,7.01
Austin Booker,Kansas,5,144,Big12,DE,76.5,240,9.25,33.88,4.79,,32.5,120,4.47,7.28
Braiden McGregor,Michigan,na,na,Big10,DE,77.25,257,10,33.13,4.78,20,33,116,4.63,
Bralen Trice,Washington,3,74,Pac12,DE,75.5,259,9,32.5,4.72,20,32,115,4.19,7.2
Brennan Jackson,Washington State,5,154,Pac12,DE,75.88,264,9.75,32.75,4.69,21,33.5,114,4.34,7.43
Cedric Johnson,Mississippi,6,214,SEC,DE,75,260,9.88,33.5,4.63,25,38,122,4.36,7.45
Chop Robinson,Penn State,1,21,Big10,DE,74.88,254,9.13,32.5,4.48,,34.5,128,4.25,
David Ugwoegbu,Houston,na,na,Big12,DE,75.88,243,10.25,33.75,4.87,21,31.5,116,4.71,7.56
Eric Watts,Connecticut,na,na,Indy,DE,77.63,274,9.75,35.75,4.67,21,36.5,117,4.73,7.59
Eyabi Okie-Anoma,Charlotte,na,na,AAC,DE,76.5,260,9.5,33.5,4.60,,,,,
Jalyx Hunt,Houston Christian,3,94,FCS,DE,75.75,252,10,34.38,4.64,19,37.5,128,4.38,7.18
Jared Verse,Florida State,1,19,ACC,DE,75.88,254,9.88,33.5,4.58,31,35,127,4.44,7.31
Javontae Jean-Baptiste,Notre Dame,7,222,ACC,DE,76.63,247,10,33.75,4.66,,34.5,127,,
Jaylen Harrell,Michigan,7,252,Big10,DE,75.75,250,9.75,33.25,4.68,,37,118,4.39,
Jonah Elliss,Utah,3,76,Pac12,DE,74.13,248,10.5,33,4.70,,,,,
Khalid Duke,Kansas State,na,na,Big12,DE,75.25,253,9.25,32.63,4.79,21,34,117,4.6,7.41
Laiatu Latu,UCLA,1,15,Pac12,DE,76.75,259,9.63,32.63,4.64,,32,116,4.34,7.09
